PRCP       002020 19100801 20101130 MOOLA BULLA                                 
19680101 19680131   176.1
19680201 19680229   144.0
19680301 19680331    86.3
19680401 19680430    38.9
19680501 19680531    47.4
19680601 19680630     0.0
19680701 19680731    20.1
19680801 19680831     0.0
19680901 19680930     8.6
19681001 19681031    12.9
19681101 19681130    45.5
19681201 19681231    14.5
19690101 19690131   193.5
19690201 19690228   417.9
19690301 19690331    64.1
19690401 19690430     0.0
19690501 19690531     0.0
19690601 19690630     0.8
19690701 19690731     0.5
19690801 19690831     0.0
19690901 19690930     0.0
19691001 19691031     8.1
19691101 19691130    14.7
19691201 19691231   109.8
19700101 19700131    38.4
19700201 19700228    59.5
19700301 19700331    24.4
19700401 19700430    35.5
19700501 19700531    10.2
19700601 19700630     0.0
19700701 19700731     0.0
19700801 19700831     0.0
19700901 19700930     0.0
19701001 19701031     0.0
19701101 19701130     7.6
19701201 19701231   155.6
19710101 19710131    68.0
19710201 19710228    63.1
19710301 19710331   248.3
19710401 19710430     0.0
19710501 19710531     0.0
19710601 19710630     2.0
19710701 19710731     0.0
19710801 19710831     0.0
19710901 19710930     0.0
19711001 19711031     8.6
19711101 19711130    49.7
19711201 19711231   204.4
19720101 19720131    15.7
19720201 19720229    38.7
19720301 19720331   122.6
19720401 19720430     1.5
19720501 19720531     0.0
19720601 19720630     0.0
19720701 19720731     0.0
19720801 19720831     0.0
19720901 19720930     0.0
19721001 19721031     0.0
19721101 19721130    17.1
19721201 19721231    33.3
19730101 19730131   117.3
19730201 19730228    24.4
19730301 19730331    39.3
19730401 19730430    22.4
19730501 19730531    52.1
19730601 19730630     4.6
19730701 19730731     0.0
19730801 19730831    46.2
19730901 19730930     9.1
19731001 19731031    16.0
19731101 19731130   132.5
19731201 19731231    57.3
19740101 19740131   247.6
19740201 19740228    68.2
19740301 19740331    81.6
19740401 19740430   205.4
19740501 19740531     9.8
19740601 19740630     0.0
19740701 19740731     0.0
19740801 19740831     0.0
19740901 19740930    86.8
19741001 19741031    40.6
19741101 19741130     4.6
19741201 19741231    53.6
19750101 19750131    48.0
19750201 19750228   240.2
19750301 19750331    81.0
19750401 19750430    94.6
19750501 19750531     0.0
19750601 19750630     5.0
19750701 19750731     4.6
19750801 19750831     0.0
19750901 19750930    31.0
19751001 19751031    83.6
19751101 19751130    29.4
19751201 19751231   121.7
19760101 19760131    85.6
19760201 19760229   210.2
19760301 19760331    73.8
19760401 19760430     0.0
19760501 19760531     0.0
19760601 19760630     0.0
19760701 19760731     0.0
19760801 19760831     0.0
19760901 19760930     5.8
19761001 19761031    17.8
19761101 19761130     0.0
19761201 19761231    73.8
19770101 19770131   317.5
19770201 19770228   144.1
19770301 19770331   114.2
19770401 19770430    15.1
19770501 19770531     2.6
19770601 19770630     0.0
19770701 19770731     0.0
19770801 19770831     0.0
19770901 19770930     0.0
19771001 19771031     0.6
19771101 19771130    41.2
19771201 19771231    43.2
19780101 19780131   287.4
19780201 19780228    97.0
19780301 19780331    32.4
19780401 19780430     3.0
19780501 19780531    83.6
19780601 19780630    53.4
19780701 19780731    88.4
19780801 19780831     7.4
19780901 19780930     1.2
19781001 19781031     1.0
19781101 19781130     4.6
19781201 19781231    80.8
19790101 19790131   119.4
19790201 19790228   138.2
19790301 19790331    33.4
19790401 19790430     0.0
19790501 19790531   190.0
19790601 19790630     0.0
19790701 19790731     0.0
19790801 19790831     0.0
19790901 19790930     1.0
19791001 19791031    59.9
19791101 19791130    35.9
19791201 19791231     7.3
19800101 19800131   114.4
19800201 19800229   400.0
19800301 19800331    32.4
19800401 19800430    14.4
19800501 19800531     1.2
19800601 19800630     0.0
19800701 19800731     0.0
19800801 19800831     0.0
19800901 19800930     0.0
19801001 19801031    15.4
19801101 19801130    42.0
19801201 19801231   107.2
19810101 19810131   206.5
19810201 19810228   194.5
19810301 19810331    11.1
19810401 19810430     0.0
19810501 19810531     3.8
19810601 19810630     0.0
19810701 19810731     0.0
19810801 19810831     0.4
19810901 19810930    21.0
19811001 19811031    14.0
19811101 19811130    74.8
19811201 19811231    60.8
19820101 19820131   102.4
19820201 19820228   437.7
19820301 19820331   313.0
19820401 19820430     0.0
19820501 19820531     0.0
19820601 19820630     0.0
19820701 19820731     0.0
19820801 19820831     0.0
19820901 19820930     0.0
19821001 19821031     5.0
19821101 19821130    19.2
19821201 19821231   145.4
19830101 19830131    30.8
19830201 19830228    35.4
19830301 19830331   361.4
19830401 19830430    52.5
19830501 19830531     0.0
19830601 19830630     0.0
19830701 19830731     0.0
19830801 19830831     0.0
19830901 19830930     0.0
19831001 19831031    31.2
19831101 19831130    28.8
19831201 19831231    40.2
19840101 19840131   260.7
19840201 19840229     3.2
19840301 19840331   234.9
19840401 19840430     0.0
19840501 19840531     0.0
19840601 19840630     0.0
19840701 19840731    13.2
19840801 19840831     0.0
19840901 19840930    10.8
19841001 19841031     1.2
19841101 19841130    33.6
19841201 19841231    25.9
19850101 19850131    33.4
19850201 19850228   102.4
19850301 19850331    76.6
19850401 19850430     1.8
19850501 19850531     0.0
19850601 19850630     4.6
19850701 19850731     0.0
19850801 19850831     0.0
19850901 19850930     0.0
19851001 19851031     5.1
19851101 19851130    42.0
19851201 19851231    39.8
19860101 19860131   480.3
19860201 19860228    73.3
19860301 19860331    34.3
19860401 19860430     5.4
19860501 19860531     0.2
19860601 19860630    43.2
19860701 19860731    18.8
19860801 19860831     0.0
19860901 19860930    24.6
19861001 19861031     4.5
19861101 19861130     0.0
19861201 19861231    23.2
19870101 19870131   218.0
19870201 19870228   223.6
19870301 19870331     7.4
19870401 19870430     8.0
19870501 19870531     0.0
19870601 19870630     0.0
19870701 19870731     0.0
19870801 19870831     0.0
19870901 19870930    14.0
19871001 19871031     3.0
19871101 19871130    18.8
19871201 19871231   204.6
19880101 19880131   143.1
19880201 19880229    59.6
19880301 19880331    63.1
19880401 19880430     0.0
19880501 19880531     1.0
19880601 19880630     0.0
19880701 19880731     0.0
19880801 19880831     0.0
19880901 19880930     0.0
19881001 19881031    17.9
19881101 19881130    88.4
19881201 19881231   127.6
19890101 19890131    27.0
19890201 19890228    40.0
19890301 19890331   139.0
19890401 19890430    21.0
